Fecha,Gasolina Regular,Gasolina Superior,Gas Propano,Diesel
2000-01-01,202645.2,308156.82,194410.48,634667.06
2000-02-01,205530.96,307766.31,174710.55,642380.66
2000-03-01,229499.56,331910.29,189234.07,699807.25
2000-04-01,210680.4,315648.08,174330.61,586803.98
2000-05-01,208164.34,319667.97,191745.15,656948.2
2000-06-01,195088.74,300347.7,196321.93,570919.88
2000-07-01,204556.77,308305.93,192344.5,576436.02
2000-08-01,218388.51,323011.86,203727.08,593770.77
2000-09-01,213906.96,326455.72,194565.1,590145.4
2000-10-01,213606.65,323843.63,210261.83,641113.36
2000-11-01,209227.48,320788.08,205027.95,657086.3
2000-12-01,230020.7,366987.56,200247.56,673282.26
2001-01-01,164547.35,300242.78,179405.99,569328.79
2001-02-01,174838.81,301483.4,167818.14,597749.83
2001-03-01,201992.65,355572.83,186397.33,736085.97
2001-04-01,198683.39,355826.76,175820.35,606257.66
2001-05-01,182504.09,336040.04,178303.33,664082.66
2001-06-01,201379.48,308804.7,177826.93,559333.03
2001-07-01,214980.24,350501.97,191041.99,589452.73
2001-08-01,204646.77,348414.65,190295.99,568546.37
2001-09-01,188292.35,324393.96,184039.99,533108.39
2001-10-01,225240.95,366261.63,206176.99,603371.18
2001-11-01,210324.95,351890.63,201335.99,626156.18
2001-12-01,223209.95,403561.63,209792.99,664190.18
2002-01-01,200309.85,368935.53,196068.61,726672.6
2002-02-01,183119.34,348917.79,180209.8,694344.78
2002-03-01,212711.71,385044.97,186680.97,656379.29
2002-04-01,204765.62,379741.98,196167.16,683646.17
2002-05-01,201083.51,375054.64,201612.36,707165.47
2002-06-01,187629.42,371138.59,193024.4,667820.71
2002-07-01,201692.64,399944.65,204196.24,656761.6
2002-08-01,205240.77,392355.62,213625.43,657099.74
2002-09-01,177614.8,347191.44,209849.76,653664.6
2002-10-01,203097.24,381595.2,212932.33,653053.27
2002-11-01,207629.81,384334.22,210000.55,671401.33
2002-12-01,199619.27,400645.42,223830.4,676192.45
2003-01-01,193713.62,376516.58,213268.98,769843.3
2003-02-01,184354.61,355760.81,206815.01,709783.58
2003-03-01,201443.37,361880.87,216427.95,786484.49
2003-04-01,219004.31,377395.17,204403.51,709626.39
2003-05-01,200407.18,390624.27,216452.75,755982.05
2003-06-01,168327.72,346941.84,212069.04,641540.08
2003-07-01,174317.57,377178.84,231172.01,631704.12
2003-08-01,171665.05,355682.72,222312.71,613428.55
2003-09-01,174757.95,348659.02,225703.05,582989.47
2003-10-01,209314.45,392041.78,239665.04,722763.6
2003-11-01,168510.0,330640.23,229612.35,639828.39
2003-12-01,196081.99,391327.66,247544.64,652872.45
2004-01-01,203975.57,381547.72,235284.97,656987.4
2004-02-01,180290.24,339576.46,213288.68,659540.43
2004-03-01,206455.62,379687.46,233426.35,746236.84
2004-04-01,182379.92,357595.81,217530.88,633766.06
2004-05-01,160741.9,322596.73,225959.05,556369.7
2004-06-01,164782.5,318811.5,225673.46,560393.48
2004-07-01,182642.41,346413.66,243064.07,583098.55
2004-08-01,207432.8,390304.28,236324.77,699610.8
2004-09-01,194240.55,364689.84,225204.18,612639.57
2004-10-01,200323.53,380441.55,229626.06,619084.79
2004-11-01,214509.65,378498.6,225593.82,705298.16
2004-12-01,236733.03,429109.1,241915.01,761864.3
2005-01-01,209901.6,321382.14,227154.97,724692.36
2005-02-01,198775.61,375768.83,211814.38,717116.77
2005-03-01,231358.58,410241.93,224387.03,802139.58
2005-04-01,225644.89,389737.16,218555.21,803996.93
2005-05-01,187048.26,343762.52,230568.15,715360.44
2005-06-01,202161.79,351906.82,223151.26,681743.36
2005-07-01,213821.77,389172.65,236140.08,678614.47
2005-08-01,212696.38,396871.12,242734.74,693681.13
2005-09-01,196776.87,378887.62,223283.87,666258.37
2005-10-01,192270.24,328052.56,213139.58,589830.24
2005-11-01,185251.12,360869.14,222988.53,701255.47
2005-12-01,241035.13,448688.52,225410.43,775027.2
2006-01-01,211152.72,382078.88,217867.31,750946.36
2006-02-01,200551.4,367944.25,212328.61,734530.76
2006-03-01,233082.86,427567.58,232405.36,875047.29
2006-04-01,223479.45,392050.29,207612.27,711185.23
2006-05-01,222710.9,379832.55,232489.83,734289.15
2006-06-01,196511.22,364359.35,236563.83,672428.87
2006-07-01,210255.7,392252.91,239767.85,684438.7
2006-08-01,211202.14,394585.28,245672.02,707219.69
2006-09-01,204369.99,382724.97,256040.1,650791.38
2006-10-01,203061.39,400793.81,238514.63,683543.13
2006-11-01,205541.91,401922.57,228417.44,739181.99
2006-12-01,233936.83,454373.13,236333.11,776330.26
2007-01-01,216560.79,418412.86,217344.66,810372.66
2007-02-01,204991.91,401425.14,211149.36,799394.6
2007-03-01,239019.91,454731.09,264115.98,956680.19
2007-04-01,217536.23,403732.56,224818.88,758988.58
2007-05-01,224400.73,426414.71,259749.48,811703.69
2007-06-01,217473.91,390991.36,244505.28,720896.77
2007-07-01,219874.23,416497.41,261555.62,721550.61
2007-08-01,236565.57,411088.53,267634.12,736620.9
2007-09-01,207241.84,390568.99,254081.76,669587.88
2007-10-01,224750.77,419001.81,264936.66,738702.86
2007-11-01,218116.79,417490.77,250108.61,779547.05
2007-12-01,252394.11,438542.79,253659.53,768886.87
2008-01-01,213645.39,403266.74,252508.33,797668.91
2008-02-01,215873.67,407735.55,241978.08,794000.25
2008-03-01,233761.07,424157.28,247679.04,776026.79
2008-04-01,233687.28,399193.53,243178.03,807725.77
2008-05-01,236635.85,390882.63,240798.46,682326.18
2008-06-01,200656.57,337464.32,242422.57,507662.65
2008-07-01,228640.21,374847.05,243531.97,544399.26
2008-08-01,227499.0,378363.76,237062.52,556174.4
2008-09-01,218214.64,367962.73,225262.46,557802.62
2008-10-01,238955.44,386430.4,263100.5,617863.13
2008-11-01,238626.16,375438.69,230092.62,688104.11
2008-12-01,298245.47,463343.73,245852.65,778953.84
2009-01-01,273494.16,424264.5,217372.42,800526.47
2009-02-01,254667.7,424438.71,212038.24,795050.51
2009-03-01,290343.28,434248.69,235475.32,865981.57
2009-04-01,290887.08,454265.4,209739.17,822109.74
2009-05-01,276970.67,432401.49,221884.47,770687.28
2009-06-01,252551.99,393140.38,221329.63,703815.55
2009-07-01,283142.05,435256.09,241510.2,740868.09
2009-08-01,267830.84,409182.96,232174.11,692376.7
2009-09-01,248994.42,420238.71,225886.43,687435.1
2009-10-01,269008.52,421753.29,235899.13,775739.56
2009-11-01,212149.91,391754.81,232172.83,738678.65
2009-12-01,296805.29,449842.29,215923.38,891670.41
2010-01-01,243341.49,389068.41,228078.62,777741.34
2010-02-01,248207.93,391195.69,214409.69,807692.1
2010-03-01,320985.41,465664.59,242081.59,1017058.18
2010-04-01,254872.61,387063.18,216150.67,762770.01
2010-05-01,238903.31,381811.18,215523.54,721668.18
2010-06-01,251896.39,385981.1,226415.07,683236.54
2010-07-01,278700.49,422481.8,243063.35,721584.6
2010-08-01,268917.79,410176.39,245908.42,695796.33
2010-09-01,266975.25,396429.75,233404.9,687553.88
2010-10-01,275031.21,418305.07,236852.35,745415.51
2010-11-01,273452.94,409652.73,255841.85,785917.4
2010-12-01,320807.17,466766.78,251825.2,843762.0
2011-01-01,285089.04,411737.33,244328.91,850696.79
2011-02-01,269301.38,391131.1,228479.0,819940.5
2011-03-01,281453.75,393160.91,255792.92,900485.91
2011-04-01,285598.37,386749.27,237582.68,797527.23
2011-05-01,253277.88,371876.75,247975.28,803849.53
2011-06-01,290137.49,380800.43,247082.28,729676.79
2011-07-01,279283.36,389294.64,259033.89,718255.06
2011-08-01,256380.27,408494.51,259688.74,699736.08
2011-09-01,256728.25,380453.23,251882.54,660384.93
2011-10-01,242071.01,381309.5,262255.14,672214.93
2011-11-01,231413.83,381871.84,252218.21,794507.24
2011-12-01,291678.03,449904.1,263892.43,862318.8
2012-01-01,261933.68,393781.94,242524.9,814956.72
2012-02-01,253733.22,402633.55,243810.95,848067.25
2012-03-01,290286.65,429534.5,270906.08,925065.27
2012-04-01,262615.28,389264.02,249493.66,792201.73
2012-05-01,235374.04,405877.41,261657.41,771542.47
2012-06-01,261012.58,409111.24,255333.43,712464.94
2012-07-01,233061.35,420370.6,271101.94,699130.04
2012-08-01,259165.94,433828.02,280184.27,716720.36
2012-09-01,228205.77,378478.8,268875.1,632120.37
2012-10-01,261347.22,414523.22,297829.17,728414.88
2012-11-01,272657.82,394751.47,303422.01,812523.44
2012-12-01,310407.04,442191.43,281757.56,848262.93
2013-01-01,287985.59,408557.45,291844.0,863769.41
2013-02-01,259659.66,361215.69,253221.89,808853.97
2013-03-01,313075.45,413744.86,286869.62,898352.2
2013-04-01,330070.65,409238.3,287216.3,966103.92
2013-05-01,313131.36,403354.79,301770.53,827601.25
2013-06-01,287596.64,402012.07,275921.37,775187.12
2013-07-01,314185.61,425154.22,292790.1,732544.52
2013-08-01,288400.67,416968.15,282844.32,773147.9
2013-09-01,249357.42,379479.78,278403.42,672125.16
2013-10-01,314518.72,430179.69,285195.01,800049.12
2013-11-01,306638.45,404692.46,253022.23,821457.45
2013-12-01,339969.85,448135.35,282335.47,860351.9
2014-01-01,312139.77,412617.93,288260.8,917251.54
2014-02-01,312142.65,385430.58,304312.13,890362.31
2014-03-01,335869.63,434863.96,284201.43,1004937.39
2014-04-01,349155.3,437470.07,250902.83,972039.42
2014-05-01,332737.37,427487.2,305911.84,877263.31
2014-06-01,303016.82,387299.1,285640.44,733508.7
2014-07-01,344659.64,439137.13,289827.6,826918.81
2014-08-01,326356.06,442953.1,272617.6,793694.01
2014-09-01,371327.13,411466.28,271079.59,728498.84
2014-10-01,343812.67,459922.48,337006.14,836278.12
2014-11-01,343918.56,436467.9,303666.7,885713.74
2014-12-01,464223.15,538899.26,311419.96,1021378.09
2015-01-01,419102.72,503135.7,317220.91,1014706.21
2015-02-01,398167.69,454190.88,315364.36,980149.84
2015-03-01,457246.14,521879.26,338142.32,1142551.06
2015-04-01,413451.11,486779.41,320920.88,1011167.74
2015-05-01,415570.95,483594.83,328177.8,944316.66
2015-06-01,414466.18,480892.11,331140.05,880016.47
2015-07-01,440729.53,515322.66,363251.96,902586.36
2015-08-01,439588.9,513413.0,333215.61,887796.85
2015-09-01,422826.59,501658.04,364351.76,734654.22
2015-10-01,448971.88,532741.14,364469.55,834285.95
2015-11-01,423841.82,516486.95,353643.08,925431.0
2015-12-01,499839.17,600161.72,355233.65,1047478.84
2016-01-01,433180.34,545737.53,346512.22,1084043.63
2016-02-01,450916.35,540459.19,368867.55,1055672.64
2016-03-01,486255.94,575720.92,372223.42,1107296.65
2016-04-01,467472.2,545605.47,357084.22,1149175.19
2016-05-01,468710.38,551000.79,377629.02,1019984.4
2016-06-01,450758.18,537583.25,355848.99,888538.1
2016-07-01,465270.48,562778.84,350429.77,883716.04
2016-08-01,485995.83,585748.5,363859.51,866270.02
2016-09-01,456946.75,548491.65,356426.23,877800.56
2016-10-01,476277.64,573754.73,373503.78,916410.7
2016-11-01,463726.21,547323.53,372904.63,1019671.97
2016-12-01,524242.31,615251.51,372690.46,1113827.1
2017-01-01,477291.93,546212.16,358706.82,1079339.3
2017-02-01,453665.32,526888.94,357497.97,1052536.01
2017-03-01,523943.6,592249.34,351791.93,1216423.42
2017-04-01,500063.03,530345.96,360957.7,1032813.29
2017-05-01,516884.37,588861.62,377492.16,1034806.24
2017-06-01,478491.95,549378.05,378328.46,897511.89
2017-07-01,521730.41,607702.7,369948.64,938887.64
2017-08-01,514086.57,604650.34,385834.28,950188.14
2017-09-01,492618.55,560892.67,447373.59,894363.58
2017-10-01,512762.32,583658.83,393901.92,935986.17
2017-11-01,510631.29,563345.61,409332.86,1038598.26
2017-12-01,574097.7,635423.76,404574.36,1117711.45
2018-01-01,528763.3,581802.98,421848.92,1105628.89
2018-02-01,502041.67,545210.0,379239.07,1072071.67
2018-03-01,571052.13,618402.18,415125.9,1194136.18
2018-04-01,526979.67,565665.72,370434.61,1108452.97
2018-05-01,544395.17,570129.66,403094.74,1009750.15
2018-06-01,518911.44,554431.5,390070.17,930065.0
2018-07-01,541811.12,589775.97,381128.08,950343.54
2018-08-01,570224.11,593659.63,407124.75,991818.15
2018-09-01,531285.29,551547.83,385717.79,882303.53
2018-10-01,573751.47,579474.43,408674.34,969095.04
2018-11-01,563417.57,573687.35,408049.58,1061941.91
2018-12-01,632670.17,654281.25,421872.09,1106130.25
2019-01-01,596682.75,601714.9,421555.41,1152949.52
2019-02-01,559109.22,565425.02,402371.33,1103358.49
2019-03-01,645266.77,610720.58,428149.45,1228025.34
2019-04-01,657570.18,598956.3,414018.68,1160125.11
2019-05-01,666748.63,611592.32,426587.33,1134666.18
2019-06-01,641136.56,595744.38,399031.61,1012030.47
2019-07-01,650150.78,615559.33,419958.02,1030649.68
2019-08-01,668783.39,632415.7,419493.82,1070198.1
2019-09-01,616079.3,587861.84,396860.64,973358.44
2019-10-01,669008.77,643044.33,433917.15,1043629.53
2019-11-01,643070.35,620572.21,430725.89,1122734.55
2019-12-01,706020.77,682468.14,428697.64,1175724.83
2020-01-01,640011.73,622323.79,421644.72,1184419.19
2020-02-01,652028.0,633100.05,426533.15,1233250.24
2020-03-01,573586.73,509752.95,420637.14,1100813.77
2020-04-01,458420.85,391773.23,345933.61,867592.28
2020-05-01,478771.83,407482.52,362987.37,828743.95
2020-06-01,516933.6,388952.81,402541.02,782327.99
2020-07-01,567052.5,462380.81,423328.22,870354.89
2020-08-01,647375.58,574379.33,483695.9,885200.72
2020-09-01,661665.58,610445.1,439581.36,959013.35
2020-10-01,680362.07,648582.82,459312.45,1064005.3
2020-11-01,652630.16,639856.62,421504.59,1072873.46
2020-12-01,768193.03,760695.45,481068.86,1276290.85
2021-01-01,685942.97,655512.66,485759.13,1220637.86
2021-02-01,669312.88,621712.09,447847.05,1272608.93
2021-03-01,773453.52,692240.49,513966.39,1417379.54
2021-04-01,688389.03,610310.75,466275.27,1268491.3
2021-05-01,707336.38,643076.84,475018.36,1188222.54
2021-06-01,692598.71,637332.81,475462.79,1128077.11
2021-07-01,740193.13,665472.94,500478.6,1197398.4
2021-08-01,668221.54,636824.61,492629.81,1104625.93
2021-09-01,670418.8,605257.76,493058.47,1102655.34
2021-10-01,718676.32,675821.54,497279.7,1166983.39
2021-11-01,708246.27,641916.4,480432.29,1223817.11
2021-12-01,821882.15,768102.83,531775.93,1380064.62
2022-01-01,683031.84,621512.78,513015.93,1281083.25
2022-02-01,661521.58,592106.14,519921.04,1267195.1
2022-03-01,701819.65,598038.47,483657.43,1335367.84
2022-04-01,812059.06,569199.43,493178.4,1288232.7
2022-05-01,791824.98,483991.63,515616.02,1109576.77
2022-06-01,781009.47,507260.42,513914.27,1102689.46
2022-07-01,788841.46,554496.9,513619.25,1125984.15
2022-08-01,784468.32,581844.42,541273.94,1107348.96
2022-09-01,760396.15,570632.2,479529.68,1202883.03
2022-10-01,768784.36,573943.48,545823.45,979243.31
2022-11-01,771173.12,572163.23,528393.77,1165294.16
2022-12-01,865851.44,635953.46,556737.22,1241281.79
2023-01-01,804524.73,599501.29,574148.0,1285932.51
2023-02-01,737345.64,544144.0,497273.19,1226884.63
2023-04-01,798128.36,586642.2,513919.89,1247899.39
2023-05-01,866826.79,646221.2,561767.17,1346554.12
2023-06-01,782745.17,616290.21,532138.9,1159045.92
2023-07-01,825219.05,642098.16,521833.56,1178454.37
2023-08-01,851754.02,632333.4,543825.64,1222453.19
2023-09-01,799852.73,597670.26,517699.48,1103622.25
2023-10-01,728741.16,531542.58,495261.14,998113.39
2023-11-01,807947.98,632180.03,530542.42,1248223.75
2023-12-01,880233.12,691389.62,541263.18,1334692.15
2024-01-01,830708.13,658083.66,548124.45,1359012.49
2024-02-01,818740.16,654059.6,526897.85,1340174.42
2024-03-01,870771.7,671997.05,523990.91,1393324.52
2024-04-01,847353.15,633520.57,531880.19,1428143.44
2024-05-01,894533.14,692427.94,536754.38,1401052.37
